ASISr_X,ASISr_Y,ASISr_Z,ASISl_X,ASISl_Y,ASISl_Z,PSISr_X,PSISr_Y,PSISr_Z,PSISl_X,PSISl_Y,PSISl_Z
667.6439999999999,290.776,174.06799999999998,746.227,59.1115,187.855,850.2510000000001,280.469,227.02,883.961,174.229,227.513
667.98,290.351,174.043,746.437,58.6586,187.762,850.44,279.835,227.398,884.1060000000001,173.618,227.799
668.327,289.944,174.02700000000002,746.6519999999999,58.2014,187.673,850.664,279.203,227.78099999999998,884.235,173.007,228.085
668.695,289.551,174.018,746.8989999999999,57.7819,187.583,850.898,278.565,228.15200000000002,884.4110000000001,172.393,228.39700000000002
669.052,289.177,174.002,747.174,57.3536,187.50099999999998,851.138,277.918,228.532,884.6160000000001,171.78099999999998,228.71099999999998
669.426,288.823,173.983,747.4739999999999,56.9739,187.447,851.422,277.309,228.915,884.8380000000001,171.183,229.043
669.821,288.487,173.96599999999998,747.804,56.6077,187.451,851.707,276.732,229.264,885.329,170.611,229.459
670.2360000000001,288.11,173.954,748.175,56.2684,187.483,852.0169999999999,276.20599999999996,229.605,885.461,170.076,229.708
670.678,287.721,173.958,748.586,55.9202,187.571,852.334,275.683,229.925,885.8,169.58,230.03
671.163,287.313,173.954,749.034,55.565,187.71099999999998,852.675,275.252,230.24200000000002,886.192,169.149,230.355
671.658,286.91900000000004,173.972,749.5369999999999,55.1956,187.877,853.0260000000001,274.85400000000004,230.52700000000002,886.7410000000001,168.75799999999998,230.72
672.187,286.53,174.003,750.044,54.8436,188.05,853.431,274.481,230.81,887.1389999999999,168.425,231.03
672.73,286.211,174.043,750.567,54.4635,188.232,853.825,274.14099999999996,231.077,887.3439999999999,168.13299999999998,231.209
673.2769999999999,285.928,174.085,751.082,54.1493,188.396,854.345,273.835,231.407,887.898,167.854,231.545
673.831,285.697,174.125,751.571,53.8398,188.514,854.7639999999999,273.499,231.642,888.2719999999999,167.592,231.77
