EMG1,EMG11,EMG5,IM EMG13
-2.0300000000000002e-05,2.8699999999999996e-05,9.02e-06,6.17e-06
-2.01e-05,2.8999999999999997e-05,1.06e-05,6.17e-06
-1.85e-05,2.9299999999999997e-05,1.05e-05,3.5e-06
-1.6899999999999997e-05,3.04e-05,9.25e-06,3.5e-06
-1.63e-05,3.06e-05,8.87e-06,1.36e-06
-1.63e-05,2.9299999999999997e-05,1.01e-05,2.32e-06
-1.64e-05,2.8699999999999996e-05,1.1599999999999999e-05,2.32e-06
-1.66e-05,2.9100000000000003e-05,1.13e-05,-1.6300000000000002e-07
-1.64e-05,2.9100000000000003e-05,9.14e-06,-1.6300000000000002e-07
-1.66e-05,2.8100000000000002e-05,7.78e-06,1.34e-07
-1.74e-05,2.7399999999999995e-05,4.81e-06,1.34e-07
-1.77e-05,2.8499999999999998e-05,-2.24e-06,-2.36e-06
-1.6899999999999997e-05,2.7899999999999997e-05,-1.09e-05,-2.36e-06
-1.63e-05,2.8300000000000003e-05,-1.4300000000000002e-05,-2.93e-06
-1.7e-05,2.75e-05,-1.1400000000000001e-05,4.01e-06
-1.73e-05,3.01e-05,-5.74e-06,4.01e-06
-1.7100000000000002e-05,2.8199999999999998e-05,3.82e-07,2.52e-06
-1.76e-05,2.8499999999999998e-05,4.73e-06,2.52e-06
-1.88e-05,2.7000000000000002e-05,6.06e-06,2.32e-06
-2.0300000000000002e-05,2.6700000000000002e-05,5.39e-06,2.32e-06
-2.0600000000000003e-05,2.8300000000000003e-05,5.07e-06,-2.44e-08
-1.9399999999999997e-05,2.8499999999999998e-05,6.16e-06,-2.44e-08
-1.9e-05,2.8199999999999998e-05,7.26e-06,-1.86e-06
-2.05e-05,2.8800000000000002e-05,8.79e-06,-2.81e-06
-2.23e-05,2.7600000000000003e-05,1.1e-05,-2.81e-06
-2.2800000000000002e-05,2.8499999999999998e-05,1.26e-05,1.72e-07
-2.27e-05,2.99e-05,1.27e-05,1.72e-07
-2.27e-05,2.9299999999999997e-05,1.23e-05,5.01e-07
-2.2899999999999998e-05,2.8499999999999998e-05,1.18e-05,5.01e-07
-2.37e-05,2.78e-05,1.1e-05,3.07e-07
-2.45e-05,2.7300000000000003e-05,1.06e-05,3.07e-07
-2.5e-05,2.7300000000000003e-05,1.04e-05,-1.86e-06
-2.5300000000000002e-05,2.7699999999999996e-05,9.9e-06,-3.19e-06
-2.56e-05,2.94e-05,9.38e-06,-3.19e-06
-2.51e-05,2.8800000000000002e-05,9.95e-06,-3.2e-06
-2.35e-05,2.9199999999999998e-05,1.0300000000000001e-05,-3.2e-06
-2.15e-05,2.9299999999999997e-05,8.93e-06,-3.92e-06
-2.11e-05,2.9100000000000003e-05,6.48e-06,-3.92e-06
-2.2e-05,2.8899999999999998e-05,4.06e-06,-8.05e-06
-2.25e-05,3.05e-05,3.02e-06,-8.05e-06
-2.2e-05,2.8100000000000002e-05,3.03e-06,-7.5e-06
-2.2e-05,2.8899999999999998e-05,3.19e-06,-3.51e-06
-2.1e-05,2.7300000000000003e-05,2.54e-06,-3.51e-06
-2.05e-05,2.8600000000000004e-05,1.58e-06,-2.69e-06
-2.14e-05,2.9299999999999997e-05,3.14e-07,-2.69e-06
-2.1600000000000003e-05,2.78e-05,-4.05e-07,-3.05e-06
-2.11e-05,2.8600000000000004e-05,-1.46e-06,-3.05e-06
-1.95e-05,2.95e-05,-2.2e-06,-4.88e-06
-1.6800000000000002e-05,2.97e-05,-1.98e-06,-4.88e-06
-1.4300000000000002e-05,2.8800000000000002e-05,-1.02e-06,-6.19e-06
-1.4300000000000002e-05,2.8100000000000002e-05,4.5e-07,-4.53e-06
-1.57e-05,2.8499999999999998e-05,1.96e-06,-4.53e-06
-1.65e-05,2.9100000000000003e-05,2.92e-06,-4.54e-06
-1.62e-05,2.9199999999999998e-05,4.31e-06,-4.54e-06
-1.64e-05,2.8499999999999998e-05,6.16e-06,-5.2e-06
-1.74e-05,2.8999999999999997e-05,7.05e-06,-5.2e-06
-1.84e-05,2.9999999999999997e-05,6.83e-06,-4.86e-06
-1.9699999999999998e-05,2.98e-05,6.41e-06,-4.86e-06
-2.09e-05,2.9199999999999998e-05,6.34e-06,-4.53e-06
-2.08e-05,2.8600000000000004e-05,6.6e-06,-4.19e-06
-1.9e-05,2.8199999999999998e-05,6.36e-06,-4.19e-06
-1.6800000000000002e-05,2.95e-05,5.14e-06,-4.02e-06
-1.6e-05,2.9299999999999997e-05,4.29e-06,-4.02e-06
-1.7199999999999998e-05,2.8899999999999998e-05,5.74e-06,-2.94e-06
-1.9399999999999997e-05,2.8100000000000002e-05,8.36e-06,-2.94e-06
-2.1e-05,2.68e-05,1.0300000000000001e-05,3.01e-06
-2.12e-05,2.9100000000000003e-05,1.2e-05,3.01e-06
-1.9699999999999998e-05,2.84e-05,1.25e-05,2.32e-06
-1.76e-05,2.8499999999999998e-05,1.09e-05,3.34e-07
-1.76e-05,2.8699999999999996e-05,8.64e-06,3.34e-07
-2.01e-05,2.71e-05,6.85e-06,1.6300000000000002e-07
-2.15e-05,2.8199999999999998e-05,5.67e-06,1.6300000000000002e-07
-2.14e-05,2.6899999999999997e-05,5.97e-06,-1.96e-07
-2.05e-05,2.78e-05,7.82e-06,-1.96e-07
